order_date,order_id,customer_id,category,price,quantity
2016/09/04,HTS-038040-0002,038040,Slacks,20.0,1
2014/11/14,HTS-801797-0001,801797,Slacks,20.0,1
2017/02/26,HTS-vft1eu-0003,vft1eu,Skirt,18.0,3
2013/12/01,HTS-914324-0001,914324,Skirt,18.0,1
2015/10/22,HTS-88ua9r-0001,88ua9r,Slacks,20.0,1
2016/01/15,HTS-061311-0003,061311,T-Shirt,17.5,4
2014/11/25,HTS-479441-0001,479441,Polo Shirt,23.0,19
2014/11/01,HTS-352809-0001,352809,Shorts,19.0,2
2013/11/03,HTS-494332-0001,494332,Skirt,18.0,2
2013/10/02,HTS-463794-0001,463794,Pullover,24.0,1
2013/07/23,HTS-132885-0001,132885,Slacks,20.0,1
2013/11/24,HTS-519113-0001,519113,T-Shirt,17.5,1
2015/11/24,HTS-je57lh-0001,je57lh,Polo Shirt,23.0,3
2015/10/10,HTS-252675-0002,252675,Slacks,20.0,3
2016/08/15,HTS-049348-0004,049348,T-Shirt,17.5,1
2015/11/29,HTS-heb26i-0001,heb26i,T-Shirt,17.5,1
2015/10/09,HTS-989355-0003,989355,Polo Shirt,23.0,2
2015/03/26,HTS-679143-0002,679143,Polo Shirt,23.0,1
2016/04/24,HTS-301362-0001,301362,T-Shirt,17.5,1
2016/01/16,HTS-1b0lnt-0002,1b0lnt,Slacks,20.0,1
2015/01/17,HTS-198773-0002,198773,Slacks,20.0,1
2016/08/14,HTS-996602-0005,996602,Polo Shirt,23.0,3
2014/07/20,HTS-476084-0001,476084,Slacks,20.0,2
2016/05/20,HTS-907041-0002,907041,Skirt,18.0,3
2016/01/31,HTS-ws13bp-0002,ws13bp,Polo Shirt,23.0,5
2014/03/09,HTS-399607-0002,399607,Slacks,20.0,5
2016/05/20,HTS-r0lzge-0001,r0lzge,Slacks,20.0,1
2017/01/08,HTS-610587-0004,610587,Polo Shirt,23.0,1
2014/05/30,HTS-299053-0002,299053,Shorts,19.0,2
2016/05/27,HTS-590680-0003,590680,Polo Shirt,23.0,1
