campaign_id,category
1001,Agency Fees
1001,Agency Fees
1001,Events
1001,Hospitality
1001,Hospitality
1001,Paid Ads
1001,Paid Ads
1001,Paid Ads
1001,Paid Ads
1001,Promotions
1001,Telemarketing
1001,Telemarketing
1001,Telemarketing
1001,Telemarketing
1001,Travel
1001,Travel
1001,Travel
1001,Travel
1001,Travel
1002,Agency Fees
1002,Paid Ads
1002,Paid Ads
1002,Paid Ads
1002,Paid Ads
1002,Paid Ads
1002,Promotions
1002,Telemarketing
1002,Telemarketing
1002,Telemarketing
1002,Telemarketing
1003,Agency Fees
1003,Promotions
1003,Paid Ads
1004,Agency Fees
1004,Paid Ads
1004,Paid Ads
1004,Paid Ads
1004,Paid Ads
1004,Promotions
1004,Telemarketing
1004,Telemarketing
1004,Telemarketing
1005,Promotions
1006,Agency Fees
1006,Paid Ads
1006,Paid Ads
1006,Paid Ads
1006,Promotions
1006,Telemarketing
1006,Telemarketing
