order_id,customer_id,order_date,order_type,order_status,tracking_code,shipping_amount,order_line_id,product_id,price,quantity
10347-2TFP19,10347,2020-04-21,Retail,Completed,,8.26,10347-2TFP19-1,130,32.32,1
10347-2TFP19,10347,2020-04-21,Retail,Completed,,8.26,10347-2TFP19-2,230,75.75,1
10347-2TFP19,10347,2020-04-21,Retail,Completed,,8.26,10347-2TFP19-3,330,93.06,2
11201-3EWL83,11201,2015-06-26,Online,Shipped,,11.21,11201-3EWL83-1,110,43.87,4
10919-6YUR32,10919,2018-01-02,Online,Shipped,,8.44,10919-6YUR32-1,230,71.25,1
10919-6YUR32,10919,2018-01-02,Online,Shipped,,8.44,10919-6YUR32-2,340,11.99,1
11916-2YGU45,11916,2018-05-18,Online,Shipped,,17.19,11916-2YGU45-1,230,66.75,1
10795-6ART48,10795,2020-08-21,Retail,Completed,,10.86,10795-6ART48-1,240,22.5,1
10157-6ANZ61,10157,2016-08-28,Online,Shipped,,7.88,10157-6ANZ61-1,240,21.75,1
11407-7KCZ57,11407,2020-08-04,Online,Shipped,,11.36,11407-7KCZ57-1,230,66.75,1
11763-0XPA94,11763,2018-05-16,Retail,Completed,,8.36,11763-0XPA94-1,130,34.24,1
11763-0XPA94,11763,2018-05-16,Retail,Completed,,8.36,11763-0XPA94-2,140,24.61,1
11854-2EUX97,11854,2019-11-14,Retail,Completed,,9.72,11854-2EUX97-1,230,75.75,1
11500-5JUW40,11500,2016-10-23,Online,Shipped,,16.63,11500-5JUW40-1,110,38.13,1
12105-6XVY59,12105,2017-04-21,Online,Shipped,0IHZJM,12.73,12105-6XVY59-1,320,67.98,1
12105-6XVY59,12105,2017-04-21,Online,Shipped,0IHZJM,12.73,12105-6XVY59-2,420,518.4,1
12105-6XVY59,12105,2017-04-21,Online,Shipped,0IHZJM,12.73,12105-6XVY59-3,320,64.68,1
11396-9OGK93,11396,2016-03-09,Online,Shipped,,14.18,11396-9OGK93-1,130,25.92,1
