order_id,customer_id,order_date,order_type,order_status,tracking_code,shipping_amount,order_line_id,product_id,price,quantity
10763-1GUI85,10763,2018-10-24,Online,Returned,,12.17,10763-1GUI85-1,130,44.34,1.0
10763-1GUI85,10763,2018-10-24,Online,Returned,,12.17,10763-1GUI85-2,160,21.39,1.0
10646-2SVJ15,10646,2019-12-15,Online,Delivered,,12.71,10646-2SVJ15-1,240,25.53,1.0
10646-2SVJ15,10646,2019-12-15,Online,Delivered,,12.71,10646-2SVJ15-2,240,30.95,1.0
10646-2SVJ15,10646,2019-12-15,Online,Delivered,,12.71,10646-2SVJ15-3,240,33.5,1.0
10626-9BZL85,10626,2016-02-02,Online,Delivered,,10.36,10626-9BZL85-1,140,20.29,1.0
10516-7DCB91,10516,2016-01-13,Online,Delivered,,13.19,10516-7DCB91-1,150,21.37,1.0
10173-1CZY78,10173,2017-02-22,Retail,Delivered,8HNQSO,16.9,10173-1CZY78-1,340,12.99,1.0
10173-1CZY78,10173,2017-02-22,Retail,Delivered,8HNQSO,16.9,10173-1CZY78-2,340,12.61,1.0
10957-9KEY88,10957,2015-11-23,Retail,Delivered,2UUYJB,12.35,10957-9KEY88-1,160,16.3,1.0
10979-3UVM34,10979,2016-05-20,Retail,Delivered,,12.6,10979-3UVM34-1,130,30.69,1.0
10590-1HMO02,10590,2017-03-12,Online,Delivered,,9.09,10590-1HMO02-1,230,95.5,1.0
10590-1HMO02,10590,2017-03-12,Online,Delivered,,9.09,10590-1HMO02-2,140,26.89,1.0
10590-1HMO02,10590,2017-03-12,Online,Delivered,,9.09,10590-1HMO02-3,150,21.55,1.0
10590-1HMO02,10590,2017-03-12,Online,Delivered,,9.09,10590-1HMO02-4,130,40.38,1.0
10163-7RUN06,10163,2017-09-01,Online,Delivered,,13.44,10163-7RUN06-1,240,33.57,1.0
10163-7RUN06,10163,2017-09-01,Online,Delivered,,13.44,10163-7RUN06-2,340,13.63,1.0
10163-7RUN06,10163,2017-09-01,Online,Delivered,,13.44,10163-7RUN06-3,340,9.3,1.0
10163-7RUN06,10163,2017-09-01,Online,Delivered,,13.44,10163-7RUN06-4,130,42.6,1.0
10163-7RUN06,10163,2017-09-01,Online,Delivered,,13.44,10163-7RUN06-5,160,17.78,1.0
10026-2HVB33,10026,2016-08-25,Retail,Delivered,,10.46,10026-2HVB33-1,240,27.01,1.0
10418-4ZVC89,10418,2018-05-04,Online,Delivered,,6.29,10418-4ZVC89-1,130,32.67,1.0
10418-4ZVC89,10418,2018-05-04,Online,Delivered,,6.29,10418-4ZVC89-2,220,61.99,1.0
10288-4ALO05,10288,2017-08-26,Retail,Returned,,16.3,10288-4ALO05-1,130,35.56,1.0
10218-8PKX85,10218,2019-12-27,Retail,Delivered,,12.92,10218-8PKX85-1,160,21.44,2.0
10837-9FFK35,10837,2015-02-25,Retail,Delivered,,17.66,10837-9FFK35-1,240,23.1,1.0
10243-0WYI99,10243,2020-08-28,Online,Delivered,,9.61,10243-0WYI99-1,340,13.86,1.0
10234-3CMQ47,10234,2018-10-01,Online,Delivered,,15.49,10234-3CMQ47-1,160,18.09,1.0
10234-3CMQ47,10234,2018-10-01,Online,Delivered,,15.49,10234-3CMQ47-2,130,40.06,1.0
10234-3CMQ47,10234,2018-10-01,Online,Delivered,,15.49,10234-3CMQ47-3,140,24.88,1.0
10845-2SMO66,10845,2020-12-03,Retail,Delivered,0GYUSW,7.19,10845-2SMO66-1,330,123.38,1.0
10845-2SMO66,10845,2020-12-03,Retail,Delivered,0GYUSW,7.19,10845-2SMO66-2,330,123.38,1.0
10996-2PRV26,10996,2019-08-23,Online,Delivered,,10.96,10996-2PRV26-1,410,217.22,1.0
10434-2RLN74,10434,2019-03-03,Retail,Delivered,,11.41,10434-2RLN74-1,110,52.33,1.0
10434-2RLN74,10434,2019-03-03,Retail,Delivered,,11.41,10434-2RLN74-2,230,96.68,1.0
10918-3CPP31,10918,2018-02-24,Retail,Delivered,,17.29,10918-3CPP31-1,230,82.05,1.0
10830-6FLJ17,10830,2020-06-11,Retail,Delivered,0QVSXR,12.16,10830-6FLJ17-1,240,34.17,1.0
10830-6FLJ17,10830,2020-06-11,Retail,Delivered,0QVSXR,12.16,10830-6FLJ17-2,120,50.66,1.0
10830-6FLJ17,10830,2020-06-11,Retail,Delivered,0QVSXR,12.16,10830-6FLJ17-3,150,22.15,1.0
10067-2ISV48,10067,2015-12-16,Online,Delivered,,15.15,10067-2ISV48-1,140,24.63,1.0
10424-5GTR79,10424,2017-07-06,Online,Delivered,,14.27,10424-5GTR79-1,330,111.17,4.0
10424-5GTR79,10424,2017-07-06,Online,Delivered,,14.27,10424-5GTR79-2,340,14.64,1.0
10424-5GTR79,10424,2017-07-06,Online,Delivered,,14.27,10424-5GTR79-3,160,17.04,3.0
10865-1CUZ23,10865,2016-10-13,Online,Returned,,9.34,10865-1CUZ23-1,160,20.82,1.0
10219-1CEE09,10219,2019-01-02,Retail,Delivered,,10.01,10219-1CEE09-1,140,30.53,1.0
10523-0SXN57,10523,2016-06-23,Retail,Delivered,,7.82,10523-0SXN57-1,240,31.97,1.0
10610-9APP21,10610,2016-03-05,Retail,Delivered,,7.75,10610-9APP21-1,150,22.62,3.0
10610-9APP21,10610,2016-03-05,Retail,Delivered,,7.75,10610-9APP21-2,240,25.91,1.0
10610-9APP21,10610,2016-03-05,Retail,Delivered,,7.75,10610-9APP21-3,310,29.11,1.0
10610-9APP21,10610,2016-03-05,Retail,Delivered,,7.75,10610-9APP21-4,140,28.91,1.0
10610-9APP21,10610,2016-03-05,Retail,Delivered,,7.75,10610-9APP21-5,320,76.4,4.0
10610-9APP21,10610,2016-03-05,Retail,Delivered,,7.75,10610-9APP21-6,240,23.7,1.0
10610-9APP21,10610,2016-03-05,Retail,Delivered,,7.75,10610-9APP21-7,150,21.58,1.0
10636-3WOL51,10636,2015-02-15,Online,Delivered,9JUSKL,7.34,10636-3WOL51-1,330,111.23,1.0
10636-3WOL51,10636,2015-02-15,Online,Delivered,9JUSKL,7.34,10636-3WOL51-2,150,19.75,1.0
10636-3WOL51,10636,2015-02-15,Online,Delivered,9JUSKL,7.34,10636-3WOL51-3,230,80.33,1.0
10636-3WOL51,10636,2015-02-15,Online,Delivered,9JUSKL,7.34,10636-3WOL51-4,230,85.05,1.0
10674-6KDE74,10674,2015-07-23,Online,Delivered,4QSXQZ,10.35,10674-6KDE74-1,130,32.26,3.0
10874-2NWA50,10874,2016-09-26,Retail,Returned,,17.99,10874-2NWA50-1,330,111.33,1.0
10874-2NWA50,10874,2016-09-26,Retail,Returned,,17.99,10874-2NWA50-2,430,793.8,1.0
10127-2IXS11,10127,2019-11-03,Online,Delivered,,12.09,10127-2IXS11-1,160,19.6,1.0
10127-2IXS11,10127,2019-11-03,Online,Delivered,,12.09,10127-2IXS11-2,240,36.69,1.0
10127-2IXS11,10127,2019-11-03,Online,Delivered,,12.09,10127-2IXS11-3,130,37.17,3.0
10127-2IXS11,10127,2019-11-03,Online,Delivered,,12.09,10127-2IXS11-4,140,23.78,1.0
10127-2IXS11,10127,2019-11-03,Online,Delivered,,12.09,10127-2IXS11-5,230,89.02,1.0
10127-2IXS11,10127,2019-11-03,Online,Delivered,,12.09,10127-2IXS11-6,140,32.88,1.0
10175-8OSB55,10175,2017-03-16,Online,Delivered,,6.17,10175-8OSB55-1,340,14.77,1.0
10175-8OSB55,10175,2017-03-16,Online,Delivered,,6.17,10175-8OSB55-2,230,92.03,1.0
10005-5UKV35,10005,2020-01-05,Online,Delivered,,16.96,10005-5UKV35-1,160,17.37,1.0
10603-0IKZ44,10603,2015-04-01,Online,Delivered,0URYIN,10.54,10603-0IKZ44-1,160,19.66,1.0
10204-6NYG63,10204,2016-06-22,Online,Delivered,,18.72,10204-6NYG63-1,150,19.48,1.0
10636-9EOR92,10636,2020-11-27,Online,Delivered,,13.99,10636-9EOR92-1,410,323.63,1.0
