"a__order_id","a__orderstatus","cp__orderlineid","f__orderlines__price","f__orderlines__quantity","r__campaigns","r__customers","r__products","d__date"
"10668-9VYN74",Cancelled,"10668-9VYN74-2",100.33,1.00,,10668,"210",2016-07-12
"10697-7GBN87",Cancelled,"10697-7GBN87-1",39.35,1.00,,10697,"310",2017-12-05
"10907-0TPH53",Cancelled,"10907-0TPH53-3",50.40,1.00,"10005",10907,"220",2015-03-28
"10778-7INQ32",Cancelled,"10778-7INQ32-1",78.40,1.00,,10778,"230",2018-02-08
"10240-3SBQ40",Cancelled,"10240-3SBQ40-3",21.49,1.00,,10240,"160",2017-05-07
"10356-7ZBU60",Cancelled,"10356-7ZBU60-1",21.49,1.00,,10356,"140",2015-03-01
"10700-0ACT49",Cancelled,"10700-0ACT49-1",21.82,1.00,"10076",10700,"150",2019-02-20
"10175-0YRN35",Cancelled,"10175-0YRN35-3",19.15,3.00,"10006",10175,"150",2015-04-11
"10152-6HOB25",Cancelled,"10152-6HOB25-1",29.67,1.00,,10152,"140",2016-03-04
"10237-4HMA77",Cancelled,"10237-4HMA77-3",82.05,1.00,,10237,"230",2018-03-24
"10831-0RGI07",Cancelled,"10831-0RGI07-3",27.40,1.00,,10831,"140",2018-04-06
"10041-6FKV10",Cancelled,"10041-6FKV10-4",59.54,2.00,"10029",10041,"220",2016-07-16
"10252-6SJS86",Cancelled,"10252-6SJS86-1",17.70,1.00,,10252,"160",2018-02-15
"10676-0LXG84",Cancelled,"10676-0LXG84-1",17.81,1.00,,10676,"160",2015-05-01
"10175-0YRN35",Cancelled,"10175-0YRN35-4",21.95,1.00,"10006",10175,"150",2015-04-11
"10237-4HMA77",Cancelled,"10237-4HMA77-2",20.42,1.00,,10237,"160",2018-03-24
"10203-8LZP00",Cancelled,"10203-8LZP00-2",43.32,3.00,,10203,"310",2018-01-12
"10533-8YLG09",Cancelled,"10533-8YLG09-1",29.07,1.00,,10533,"140",2018-03-01
"10148-1SIJ85",Cancelled,"10148-1SIJ85-1",23.09,1.00,,10148,"150",2018-12-09
"10903-4HRY10",Cancelled,"10903-4HRY10-2",32.89,1.00,,10903,"310",2018-05-01
"10203-8LZP00",Cancelled,"10203-8LZP00-1",23.33,1.00,,10203,"150",2018-01-12
"10148-1SIJ85",Cancelled,"10148-1SIJ85-2",26.84,2.00,,10148,"140",2018-12-09
"10792-8JVS63",Cancelled,"10792-8JVS63-1",79.38,2.00,,10792,"230",2016-06-18
"10175-0YRN35",Cancelled,"10175-0YRN35-2",15.79,1.00,"10006",10175,"160",2015-04-11
"10053-9QCA98",Cancelled,"10053-9QCA98-2",21.20,1.00,,10053,"160",2018-12-12
"10446-2GNN24",Cancelled,"10446-2GNN24-1",23.09,2.00,"10038",10446,"150",2017-01-14
"10378-5SJP44",Cancelled,"10378-5SJP44-1",75.41,1.00,,10378,"320",2018-02-13
"10003-2RBA94",Cancelled,"10003-2RBA94-2",55.47,1.00,"10074",10003,"110",2019-01-14
"10584-5BDH38",Cancelled,"10584-5BDH38-1",31.05,1.00,,10584,"130",2016-11-05
"10361-0TNI19",Cancelled,"10361-0TNI19-7",18.48,4.00,"10010",10361,"160",2015-06-25
"10220-9QNC39",Cancelled,"10220-9QNC39-2",76.21,1.00,,10220,"320",2018-03-20
"10041-6FKV10",Cancelled,"10041-6FKV10-5",99.23,1.00,"10029",10041,"210",2016-07-16
"10109-4ZFK44",Delivered,"10109-4ZFK44-4",21.34,1.00,,10109,"150",2017-05-25
"10651-6RGI03",Delivered,"10651-6RGI03-2",14.13,1.00,,10651,"340",2017-06-07
"10929-0AAK35",Delivered,"10929-0AAK35-1",89.50,1.00,"10026",10929,"330",2016-05-19
"10900-0KWL25",Delivered,"10900-0KWL25-5",758.48,1.00,,10900,"430",2017-11-11
"10574-5RLQ85",Delivered,"10574-5RLQ85-2",24.60,1.00,,10574,"140",2018-11-14
"10454-4TTC77",Delivered,"10454-4TTC77-1",1805.03,1.00,,10454,"440",2018-11-14
"10642-6PAG47",Delivered,"10642-6PAG47-2",30.62,1.00,,10642,"140",2017-12-10
"10749-7VFQ21",Delivered,"10749-7VFQ21-4",22.07,1.00,"10075",10749,"150",2019-01-26
"10946-2GFC57",Delivered,"10946-2GFC57-1",31.55,1.00,,10946,"240",2017-06-18
"10864-1LJO78",Delivered,"10864-1LJO78-1",53.55,1.00,,10864,"220",2015-01-06
"10719-1KFB83",Delivered,"10719-1KFB83-2",37.71,2.00,,10719,"310",2018-09-15
"10177-2BIL00",Delivered,"10177-2BIL00-1",22.37,1.00,,10177,"140",2017-12-25
"10079-1OXF30",Delivered,"10079-1OXF30-1",42.51,1.00,,10079,"120",2017-02-17
"10274-5CPI78",Delivered,"10274-5CPI78-2",47.78,1.00,,10274,"120",2019-02-10
"10267-6MPH10",Delivered,"10267-6MPH10-1",32.97,1.00,,10267,"130",2017-07-13
"10189-8IHL63",Delivered,"10189-8IHL63-2",40.82,1.00,"10014",10189,"120",2015-09-23
"10098-3DEF40",Delivered,"10098-3DEF40-4",114.60,1.00,"10040",10098,"330",2017-02-22
"10941-4TUV05",Delivered,"10941-4TUV05-5",18.87,1.00,,10941,"160",2016-03-28
"10330-5IPV74",Delivered,"10330-5IPV74-1",84.78,1.00,,10330,"230",2018-10-26
"10804-9HPB15",Delivered,"10804-9HPB15-1",41.77,1.00,,10804,"110",2017-08-09
"10634-6WKU54",Delivered,"10634-6WKU54-4",10.19,2.00,,10634,"340",2016-03-12
"10478-6FMB15",Delivered,"10478-6FMB15-1",36.30,1.00,,10478,"130",2017-06-24
"10480-1XVD97",Delivered,"10480-1XVD97-2",23.56,1.00,,10480,"150",2018-04-04
"10817-9YJZ91",Delivered,"10817-9YJZ91-1",11.50,1.00,,10817,"340",2018-10-28
"10553-6PYZ24",Delivered,"10553-6PYZ24-4",22.31,1.00,,10553,"140",2016-03-02
"10242-5TNX76",Delivered,"10242-5TNX76-3",20.68,1.00,"10054",10242,"150",2017-12-01
"10765-1WHJ71",Delivered,"10765-1WHJ71-2",81.36,1.00,,10765,"230",2019-01-24
"10409-1UWI95",Delivered,"10409-1UWI95-4",26.91,2.00,,10409,"240",2017-05-16
"10816-4MOK88",Delivered,"10816-4MOK88-1",106.96,1.00,,10816,"330",2016-01-23
"10891-5OQI11",Delivered,"10891-5OQI11-1",19.63,1.00,,10891,"160",2017-09-24
"10745-2EVH37",Delivered,"10745-2EVH37-2",38.53,1.00,,10745,"130",2017-09-04
"10905-6AKK51",Delivered,"10905-6AKK51-1",70.04,1.00,,10905,"220",2017-11-20
"10090-9PGX15",Delivered,"10090-9PGX15-3",40.70,1.00,"10073",10090,"120",2018-12-16
"10643-5OPL18",Delivered,"10643-5OPL18-1",18.09,1.00,,10643,"160",2018-10-19
"10157-4TTJ86",Delivered,"10157-4TTJ86-2",32.23,3.00,"10042",10157,"130",2017-04-12
"10701-5YAH32",Delivered,"10701-5YAH32-2",29.92,1.00,,10701,"140",2016-03-12
"10836-2FBN51",Delivered,"10836-2FBN51-2",21.25,1.00,,10836,"150",2018-09-15
"10341-7KCY88",Delivered,"10341-7KCY88-1",23.96,1.00,,10341,"140",2017-08-11
"10508-3UNR59",Delivered,"10508-3UNR59-1",34.62,1.00,"10061",10508,"130",2018-04-24
"10950-6PRN95",Delivered,"10950-6PRN95-7",31.03,1.00,,10950,"140",2018-12-11
"10883-6UTZ33",Delivered,"10883-6UTZ33-5",10.31,1.00,"10052",10883,"340",2017-10-20
"10126-0PPQ48",Delivered,"10126-0PPQ48-1",29.55,1.00,"10054",10126,"140",2017-12-01
"10842-5MOW25",Delivered,"10842-5MOW25-3",33.43,4.00,"10059",10842,"240",2018-03-13
"10597-2EYA38",Delivered,"10597-2EYA38-1",25.83,1.00,,10597,"240",2018-11-21
"10895-2PZK69",Delivered,"10895-2PZK69-3",29.49,1.00,,10895,"240",2016-06-20
"10403-3EVF37",Delivered,"10403-3EVF37-1",42.88,1.00,,10403,"120",2018-03-22
"10157-7WPD24",Delivered,"10157-7WPD24-2",20.62,4.00,,10157,"160",2019-03-13
"10552-0TJB16",Delivered,"10552-0TJB16-1",106.66,1.00,"10065",10552,"230",2018-07-11
"10533-7VCR75",Delivered,"10533-7VCR75-1",118.04,1.00,,10533,"330",2017-08-08
"10797-9NCW51",Delivered,"10797-9NCW51-2",19.17,2.00,,10797,"150",2018-11-05
"10277-7HIB79",Delivered,"10277-7HIB79-1",16.67,1.00,"10044",10277,"160",2017-05-15
"10989-9YPC27",Delivered,"10989-9YPC27-1",30.39,1.00,,10989,"240",2017-04-23
"10745-6YPA58",Delivered,"10745-6YPA58-1",15.41,1.00,,10745,"340",2017-12-02
"10207-4GZT46",Delivered,"10207-4GZT46-2",14.46,1.00,"10074",10207,"340",2019-01-17
"10173-0VKD45",Delivered,"10173-0VKD45-6",46.85,1.00,"10071",10173,"110",2018-11-12
"10863-7VTQ15",Delivered,"10863-7VTQ15-1",77.73,2.00,"10032",10863,"230",2016-09-13
"10206-6EIH37",Delivered,"10206-6EIH37-3",21.55,4.00,,10206,"150",2017-10-06
"10395-1MHD88",Delivered,"10395-1MHD88-2",41.76,1.00,,10395,"110",2015-04-28
"10751-8IDD70",Delivered,"10751-8IDD70-1",40.45,2.00,"10064",10751,"130",2018-06-24
"10817-8MLN71",Delivered,"10817-8MLN71-1",121.48,1.00,,10817,"330",2017-10-06
"10120-9CGI24",Delivered,"10120-9CGI24-1",27.12,1.00,,10120,"140",2018-06-05
"10086-2SZC56",Delivered,"10086-2SZC56-1",23.10,1.00,,10086,"240",2015-11-23
"10626-1XXC43",Delivered,"10626-1XXC43-1",38.94,1.00,"10061",10626,"120",2018-04-25
"10410-9EXM14",Delivered,"10410-9EXM14-1",25.36,1.00,,10410,"140",2016-06-10
"10077-9DEI31",Delivered,"10077-9DEI31-2",22.54,1.00,,10077,"150",2015-12-09
"10676-3OYS63",Delivered,"10676-3OYS63-2",38.50,1.00,,10676,"120",2016-05-04
"10593-4HPT91",Delivered,"10593-4HPT91-2",35.40,1.00,,10593,"130",2018-02-06
"10157-4UWP30",Delivered,"10157-4UWP30-1",19.06,1.00,,10157,"150",2016-02-13
"10245-3LMC17",Delivered,"10245-3LMC17-3",106.66,1.00,,10245,"230",2018-06-10
"10759-2DGJ85",Delivered,"10759-2DGJ85-3",28.36,1.00,,10759,"240",2017-12-12
"10593-6UPT60",Delivered,"10593-6UPT60-1",28.88,1.00,,10593,"240",2015-12-26
"10732-9NNY66",Delivered,"10732-9NNY66-1",39.17,1.00,,10732,"120",2017-06-17
"10378-0WPN36",Delivered,"10378-0WPN36-1",15.79,1.00,,10378,"160",2015-09-18
"10516-7DCB91",Delivered,"10516-7DCB91-1",28.94,1.00,,10516,"240",2016-01-13
"10184-0HAJ73",Delivered,"10184-0HAJ73-2",26.63,1.00,,10184,"140",2017-09-07
"10630-8QHS60",Delivered,"10630-8QHS60-1",13.61,1.00,"10004",10630,"160",2015-03-12
"10067-2FAB66",Delivered,"10067-2FAB66-1",20.46,1.00,,10067,"150",2017-08-05
"10927-7PKN98",Delivered,"10927-7PKN98-1",122.74,1.00,"10059",10927,"330",2018-03-14
"10970-2EKA00",Delivered,"10970-2EKA00-3",37.63,1.00,,10970,"130",2015-08-14
"10215-2WQP96",Delivered,"10215-2WQP96-2",50.59,1.00,,10215,"320",2015-09-28
"10336-6UGO14",Delivered,"10336-6UGO14-1",112.42,1.00,,10336,"330",2016-11-19
"10179-6ZSM02",Delivered,"10179-6ZSM02-4",41.13,1.00,,10179,"120",2018-12-21
"10960-8SJC32",Delivered,"10960-8SJC32-1",82.95,1.00,"10029",10960,"330",2016-07-20
"10353-0NPC75",Delivered,"10353-0NPC75-2",41.67,1.00,"10025",10353,"120",2016-05-05
"10262-0ATT84",Delivered,"10262-0ATT84-3",90.94,2.00,"10075",10262,"230",2019-01-25
"10850-2KUZ61",Delivered,"10850-2KUZ61-1",21.37,1.00,,10850,"150",2016-02-17
"10770-0SKM52",Delivered,"10770-0SKM52-1",18.09,1.00,,10770,"160",2018-04-23
"10282-0EGR90",Delivered,"10282-0EGR90-2",84.34,1.00,,10282,"230",2016-09-18
"10647-3PRF10",Delivered,"10647-3PRF10-1",23.53,2.00,"10042",10647,"150",2017-04-09
"10177-9UPB53",Delivered,"10177-9UPB53-1",19.48,1.00,,10177,"150",2016-04-20
"10817-1ERU18",Delivered,"10817-1ERU18-1",84.22,1.00,,10817,"230",2017-09-14
"10184-0HAJ73",Delivered,"10184-0HAJ73-1",122.63,2.00,,10184,"330",2017-09-07
"10723-1QWU67",Delivered,"10723-1QWU67-2",21.30,1.00,,10723,"160",2017-11-19
"10687-1LWV08",Delivered,"10687-1LWV08-3",43.34,1.00,,10687,"120",2017-12-26
"10289-9UJX91",Delivered,"10289-9UJX91-1",46.53,1.00,"10063",10289,"310",2018-05-22
"10718-7WHV59",Delivered,"10718-7WHV59-2",45.90,4.00,,10718,"130",2018-03-05
"10085-2QUN20",Delivered,"10085-2QUN20-3",85.05,1.00,,10085,"230",2015-02-17
"10629-2DUH12",Delivered,"10629-2DUH12-1",17.97,1.00,"10044",10629,"160",2017-05-13
"10711-7FWC16",Delivered,"10711-7FWC16-1",19.64,1.00,,10711,"160",2018-12-01
"10255-5CIH77",Delivered,"10255-5CIH77-3",34.17,1.00,"10044",10255,"120",2017-05-21
"10257-0YSO75",Delivered,"10257-0YSO75-2",23.33,1.00,"10073",10257,"150",2018-12-23
"10149-5MCR09",Delivered,"10149-5MCR09-2",19.08,1.00,,10149,"160",2017-12-06
"10891-2ZOY94",Delivered,"10891-2ZOY94-4",18.67,1.00,,10891,"160",2018-03-01
"10237-2SAT40",Delivered,"10237-2SAT40-1",42.12,1.00,,10237,"310",2019-03-13
"10982-2NHQ95",Delivered,"10982-2NHQ95-1",79.88,1.00,"10049",10982,"230",2017-08-27
"10669-0COU63",Delivered,"10669-0COU63-1",11.16,1.00,"10029",10669,"340",2016-07-13
"10515-1UXV53",Delivered,"10515-1UXV53-5",19.26,1.00,,10515,"160",2017-06-09
"10804-2ZTQ86",Delivered,"10804-2ZTQ86-4",21.03,1.00,"10075",10804,"160",2019-01-24
"10660-6LWS63",Delivered,"10660-6LWS63-1",127.62,1.00,,10660,"330",2019-03-03
"10157-7WPD24",Delivered,"10157-7WPD24-3",24.01,1.00,,10157,"150",2019-03-13
"10271-9OBV17",Delivered,"10271-9OBV17-2",207.68,1.00,,10271,"410",2017-10-15
"10756-3WJT93",Delivered,"10756-3WJT93-1",24.25,1.00,"10073",10756,"150",2018-12-22
"10759-2DGJ85",Delivered,"10759-2DGJ85-2",28.07,1.00,,10759,"240",2017-12-12
